size,functional.group,transect,regeneration,rate
large,diu.frug,m1,mature,0
large,diu.fol,m1,mature,0.004
large,noc.fol,m1,mature,0.006
small,micro,m1,mature,0.001
large,diu.frug,m2,mature,0.001
large,diu.fol,m2,mature,0.015
large,noc.fol,m2,mature,0.026
small,micro,m2,mature,0.002
large,diu.frug,m3,mature,0.004
large,diu.fol,m3,mature,0.025
large,noc.fol,m3,mature,0.019
small,micro,m3,mature,0.004
large,diu.frug,r1,regenerating,0.005
large,diu.fol,r1,regenerating,0
large,noc.fol,r1,regenerating,0
small,micro,r1,regenerating,0.037
large,diu.frug,r2,regenerating,0
large,diu.fol,r2,regenerating,0
large,noc.fol,r2,regenerating,0
small,micro,r2,regenerating,0.026
large,diu.frug,r3,regenerating,0
large,diu.fol,r3,regenerating,0
large,noc.fol,r3,regenerating,0
small,micro,r3,regenerating,0.034
